Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1765647638,50,,Aggregated,24.100000,0.000000,7,8,8,8,11,12,15,23,38,47,47,3844,0,7,8.33150646462973,6.3650609999967855,47.069795000425074,83.17143600416233
1765647639,50,,Aggregated,24.800000,0.000000,7,8,8,8,11,12,15,23,38,47,47,3871,0,7,8.331810017835073,6.310241000392125,47.069795000425074,83.17308189098424
1765647640,50,,Aggregated,24.300000,0.000000,7,8,8,8,11,12,15,23,38,47,47,3897,0,7,8.329972179635586,6.310241000392125,47.069795000425074,83.17397998460355
1765647641,50,,Aggregated,23.900000,0.000000,7,8,8,8,11,12,15,23,38,47,47,3915,0,7,8.325276877659812,6.310241000392125,47.069795000425074,83.17369093231162
1765647642,50,,Aggregated,24.200000,0.000000,7,8,8,8,11,12,15,23,38,47,47,3947,0,7,8.317769055747554,6.310241000392125,47.069795000425074,83.17101596148974
1765647643,50,,Aggregated,23.800000,0.000000,7,8,8,8,11,12,15,23,38,47,47,3964,0,7,8.312736285579074,6.310241000392125,47.069795000425074,83.17179616548941
1765647644,50,,Aggregated,24.600000,0.000000,7,8,8,8,11,12,15,23,38,47,47,3992,0,7,8.311749718947379,6.310241000392125,47.069795000425074,83.16983967935872
1765647645,50,,Aggregated,24.900000,0.000000,7,8,8,8,11,12,15,23,37,47,47,4018,0,7,8.308180679452336,6.310241000392125,47.069795000425074,83.16923842707814
1765647646,50,,Aggregated,24.500000,0.000000,7,8,8,8,10,12,15,23,37,47,47,4038,0,7,8.303074540376537,6.310241000392125,47.069795000425074,83.16790490341754
1765647647,50,,Aggregated,24.400000,0.000000,7,8,8,8,11,12,15,23,37,47,47,4070,0,7,8.314588740305254,6.310241000392125,47.069795000425074,83.16633906633906
1765647648,50,,Aggregated,24.400000,0.000000,7,8,8,9,11,12,15,23,37,47,47,4091,0,7,8.318768275737462,6.310241000392125,47.069795000425074,83.16768516255195
1765647649,50,,Aggregated,23.700000,0.000000,7,8,8,9,11,12,15,23,37,47,47,4114,0,7,8.315280414449003,6.310241000392125,47.069795000425074,83.16796305298979
1765647650,50,,Aggregated,25.100000,0.000000,7,8,8,9,11,12,15,23,37,47,47,4139,0,7,8.313528981165177,6.310241000392125,47.069795000425074,83.16815655955544
1765647651,50,,Aggregated,24.500000,0.000000,7,8,8,8,11,12,15,23,37,47,47,4163,0,7,8.307706824655797,6.310241000392125,47.069795000425074,83.16598606773961
1765647652,50,,Aggregated,24.700000,0.000000,7,8,8,8,11,12,15,23,37,47,47,4191,0,7,8.304582911725024,6.310241000392125,47.069795000425074,83.16487711763303
1765647653,50,,Aggregated,24.700000,0.000000,7,8,8,8,11,12,15,23,37,47,47,4212,0,7,8.301869626790117,6.310241000392125,47.069795000425074,83.16642924976259
1765647654,50,,Aggregated,24.300000,0.000000,7,8,8,8,11,12,15,23,37,47,47,4234,0,7,8.299525991979783,6.310241000392125,47.069795000425074,83.1669815777043
1765647655,50,,Aggregated,25.000000,0.000000,7,8,8,8,11,12,15,23,37,47,47,4263,0,7,8.297642799212392,6.310241000392125,47.069795000425074,83.16654937837204
1765647656,50,,Aggregated,24.100000,0.000000,7,8,8,8,10,12,15,23,37,47,47,4288,0,7,8.293383478321257,6.310241000392125,47.069795000425074,83.16627798507463
1765647657,50,,Aggregated,24.500000,0.000000,7,8,8,8,10,12,15,22,37,47,47,4314,0,7,8.28959509690355,6.30790800005343,47.069795000425074,83.16504404265183
1765647658,50,,Aggregated,25.000000,0.000000,7,8,8,8,10,12,15,22,37,47,47,4337,0,7,8.290070529408565,6.30790800005343,47.069795000425074,83.16739681807701
1765647659,50,,Aggregated,25.000000,0.000000,7,8,8,8,10,12,15,22,37,47,47,4362,0,7,8.284560313398774,6.30790800005343,47.069795000425074,83.16918844566713
1765647660,50,,Aggregated,24.500000,0.000000,7,8,8,8,10,12,15,22,37,47,47,4386,0,7,8.283234694721534,6.30790800005343,47.069795000425074,83.16757865937072
1765647661,50,,Aggregated,24.700000,0.000000,7,8,8,8,10,12,15,21,37,47,47,4411,0,7,8.278641679449183,6.30790800005343,47.069795000425074,83.16730900022671
1765647662,50,,Aggregated,24.500000,0.000000,7,8,8,9,10,12,15,21,37,47,47,4438,0,7,8.28498623502721,6.30790800005343,47.069795000425074,83.16899504281207
1765647663,50,,Aggregated,24.200000,0.000000,7,8,8,9,10,12,14,21,37,47,47,4461,0,7,8.287626331775867,6.30790800005343,47.069795000425074,83.16879623402825
1765647664,50,,Aggregated,24.700000,0.000000,7,8,8,9,10,12,14,21,37,47,47,4485,0,7,8.294376306812886,6.30790800005343,47.069795000425074,83.16811594202899
1765647665,50,,Aggregated,24.300000,0.000000,7,8,8,9,10,12,15,21,37,47,47,4513,0,7,8.301359206748476,6.30790800005343,47.069795000425074,83.16884555727897
1765647666,50,,Aggregated,24.900000,0.000000,7,8,8,9,10,12,15,21,37,47,47,4538,0,7,8.30056691120683,6.231464999473246,47.069795000425074,83.16967827236668
1765647667,50,,Aggregated,24.600000,0.000000,7,8,8,9,10,12,15,21,37,47,47,4560,0,7,8.297525811196481,6.231464999473246,47.069795000425074,83.16951754385966
1765647668,50,,Aggregated,24.300000,0.000000,7,8,8,9,10,12,15,21,37,47,47,4590,0,7,8.294952021362825,6.231464999473246,47.069795000425074,83.16993464052288
1765647669,50,,Aggregated,25.200000,0.000000,7,8,8,9,10,12,14,20,37,47,47,4614,0,7,8.29097088427688,6.231464999473246,47.069795000425074,83.17078456870395
1765647670,50,,Aggregated,23.900000,0.000000,7,8,8,9,10,12,14,20,37,47,47,4632,0,7,8.287923425529936,6.231464999473246,47.069795000425074,83.1690414507772
1765647671,50,,Aggregated,24.800000,0.000000,7,8,8,9,10,12,14,20,37,47,47,4658,0,7,8.28892596566217,6.231464999473246,47.069795000425074,83.16874194933447
1765647672,50,,Aggregated,25.200000,0.000000,7,8,8,9,10,12,14,20,37,47,47,4680,0,7,8.286862216250562,6.231464999473246,47.069795000425074,83.17051282051283
1765647673,50,,Aggregated,24.700000,0.000000,7,8,8,9,10,12,14,20,37,47,47,4709,0,7,8.284380661722494,6.231464999473246,47.069795000425074,83.17158632406031
